Category,ItemId,ItemName,Quantity,Price
Category7,1,Item_1,701,327.48
Category7,2,Item_2,934,986.16
Category7,3,Item_3,676,261.07
Category7,4,Item_4,120,512.99
Category7,5,Item_5,454,15.65
Category7,6,Item_6,496,409.75
Category7,7,Item_7,991,322.9
Category7,8,Item_8,305,383.4
Category7,9,Item_9,874,485.46
Category7,10,Item_10,318,464.9
Category7,11,Item_11,87,177.26
Category7,12,Item_12,589,854.86
Category7,13,Item_13,592,742.63
Category7,14,Item_14,70,436.23
Category7,15,Item_15,280,936.05
Category7,16,Item_16,315,965.68
Category7,17,Item_17,756,227.05
Category7,18,Item_18,478,728.6
Category7,19,Item_19,152,694.51
Category7,20,Item_20,767,604.93
Category7,21,Item_21,3,530.78
Category7,22,Item_22,220,122.0
Category7,23,Item_23,288,201.04
Category7,24,Item_24,392,183.13
Category7,25,Item_25,650,401.93
Category7,26,Item_26,760,786.37
Category7,27,Item_27,658,235.83
Category7,28,Item_28,88,510.07
Category7,29,Item_29,463,586.55
Category7,30,Item_30,737,396.57
Category7,31,Item_31,656,50.7
Category7,32,Item_32,436,905.6
Category7,33,Item_33,958,633.02
Category7,34,Item_34,492,953.14
Category7,35,Item_35,593,806.65
Category7,36,Item_36,819,437.94
Category7,37,Item_37,473,773.85
Category7,38,Item_38,473,834.24
Category7,39,Item_39,779,660.51
Category7,40,Item_40,656,991.89
Category7,41,Item_41,185,521.85
Category7,42,Item_42,179,271.43
Category7,43,Item_43,207,690.46
Category7,44,Item_44,662,296.01
Category7,45,Item_45,938,343.35
Category7,46,Item_46,404,336.8
Category7,47,Item_47,700,457.57
Category7,48,Item_48,730,238.87
Category7,49,Item_49,108,474.1
Category7,50,Item_50,278,341.47
Category7,51,Item_51,42,588.89
Category7,52,Item_52,319,701.39
Category7,53,Item_53,106,386.08
Category7,54,Item_54,316,331.72
Category7,55,Item_55,982,814.54
Category7,56,Item_56,956,516.3
Category7,57,Item_57,105,118.62
Category7,58,Item_58,502,579.75
Category7,59,Item_59,595,120.67
Category7,60,Item_60,502,691.98
Category7,61,Item_61,728,560.03
Category7,62,Item_62,382,226.12
Category7,63,Item_63,224,149.22
Category7,64,Item_64,689,967.41
Category7,65,Item_65,314,909.09
Category7,66,Item_66,19,407.77
Category7,67,Item_67,555,512.17
Category7,68,Item_68,679,895.27
Category7,69,Item_69,716,730.78
Category7,70,Item_70,784,906.8
Category7,71,Item_71,473,979.97
Category7,72,Item_72,781,745.77
Category7,73,Item_73,913,244.19
Category7,74,Item_74,28,685.43
Category7,75,Item_75,579,299.6
Category7,76,Item_76,886,558.85
Category7,77,Item_77,79,603.7
Category7,78,Item_78,43,815.9
Category7,79,Item_79,795,587.58
Category7,80,Item_80,322,232.97
Category7,81,Item_81,438,640.19
Category7,82,Item_82,161,535.07
Category7,83,Item_83,308,567.76
Category7,84,Item_84,286,130.54
Category7,85,Item_85,138,224.72
Category7,86,Item_86,10,529.1
Category7,87,Item_87,162,600.4
Category7,88,Item_88,599,416.36
Category7,89,Item_89,534,151.9
Category7,90,Item_90,193,92.12
Category7,91,Item_91,115,302.94
Category7,92,Item_92,856,597.68
Category7,93,Item_93,870,534.45
Category7,94,Item_94,73,825.05
Category7,95,Item_95,646,92.38
Category7,96,Item_96,471,871.42
Category7,97,Item_97,426,478.45
Category7,98,Item_98,762,967.62
Category7,99,Item_99,256,992.61
Category7,100,Item_100,229,689.29
